id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper,off_camera,out,clearance,foul_committed,foul_won,block,substitution,miscontrol,injury_stoppage,pass,related_events,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,block_offensive,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,related_events_3,duel_outcome_id,duel_outcome_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name
80529ce8-3257-4530-90da-0ad910ab1069,712,1,00:16:26.082,16,26,2,Ball Recovery,39,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,3508,Sandro Ramírez Castillo,17,Right Wing,20.8,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87016d2a-e7d3-4b02-95b1-c11fcef919d6,713,1,00:16:26.082,16,26,43,Carry,39,217,Barcelona,1,Regular Play,217,Barcelona,2.236211,,1e755258-8bc1-41fa-9c46-023028c462d8,3508,Sandro Ramírez Castillo,17,Right Wing,20.8,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80529ce8-3257-4530-90da-0ad910ab1069,24.2,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e755258-8bc1-41fa-9c46-023028c462d8,714,1,00:16:28.318,16,28,30,Pass,39,217,Barcelona,1,Regular Play,217,Barcelona,2.626362,,475ca8e6-6553-4151-b629-196cf718c458,3508,Sandro Ramírez Castillo,17,Right Wing,24.2,50.4,6379.0,Sergi Roberto Carnicer,37.187363,-0.90739465,1.0,Ground Pass,47.1,21.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475ca8e6-6553-4151-b629-196cf718c458,715,1,00:16:30.945,16,30,42,Ball Receipt*,39,217,Barcelona,1,Regular Play,217,Barcelona,,,1e755258-8bc1-41fa-9c46-023028c462d8,6379,Sergi Roberto Carnicer,15,Left Center Midfield,47.1,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d85661ed-7537-466b-880d-1b1a49112543,716,1,00:16:30.945,16,30,43,Carry,39,217,Barcelona,1,Regular Play,217,Barcelona,2.321158,,475ca8e6-6553-4151-b629-196cf718c458,6379,Sergi Roberto Carnicer,15,Left Center Midfield,47.1,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea51d719-b484-49d8-837d-ae8248d25547,65.7,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea51d719-b484-49d8-837d-ae8248d25547,717,1,00:16:33.266,16,33,30,Pass,39,217,Barcelona,1,Regular Play,217,Barcelona,1.324892,,60dd7337-4a20-4d6b-a405-04f7bade4cfa,6379,Sergi Roberto Carnicer,15,Left Center Midfield,65.7,20.9,4320.0,Neymar da Silva Santos Junior,21.763502,-0.5459356,1.0,Ground Pass,84.3,9.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60dd7337-4a20-4d6b-a405-04f7bade4cfa,718,1,00:16:34.591,16,34,42,Ball Receipt*,39,217,Barcelona,1,Regular Play,217,Barcelona,,,ea51d719-b484-49d8-837d-ae8248d25547,4320,Neymar da Silva Santos Junior,21,Left Wing,84.3,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50fbb34d-27e8-4c5f-8220-3520ca545a3e,719,1,00:16:34.591,16,34,43,Carry,39,217,Barcelona,1,Regular Play,217,Barcelona,3.076516,,4d3f85a1-3c13-4ff3-87ab-eff9bb960d28,4320,Neymar da Silva Santos Junior,21,Left Wing,84.3,9.6,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,60dd7337-4a20-4d6b-a405-04f7bade4cfa,98.9,23.0,961e08b3-650c-40bc-aae6-8b59fe8a5c8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961e08b3-650c-40bc-aae6-8b59fe8a5c8d,720,1,00:16:37.026,16,37,17,Pressure,39,217,Barcelona,1,Regular Play,360,Rayo Vallecano,0.799925,,4d3f85a1-3c13-4ff3-87ab-eff9bb960d28,11298,José Ignacio Martínez García,2,Right Back,20.6,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50fbb34d-27e8-4c5f-8220-3520ca545a3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81955b84-8dc4-4c9d-8feb-59485ff2d231,721,1,00:16:37.511,16,37,17,Pressure,39,217,Barcelona,1,Regular Play,360,Rayo Vallecano,1.213158,,4d3f85a1-3c13-4ff3-87ab-eff9bb960d28,6713,Diego Javier Llorente Ríos,3,Right Center Back,22.9,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
