id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance,ball_recovery,counterpress,dribble,duel,interception,off_camera,foul_won,foul_committed,block,substitution,miscontrol,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name
c83365cb-fbb9-479b-ae19-8d27573f9249,280,1,00:06:55.035,6,55,42,Ball Receipt*,16,217,Barcelona,1,Regular Play,217,Barcelona,,,2b2d09be-d235-4655-a503-b1cf6942cde4,5246,Luis Alberto Suárez Díaz,23,Center Forward,92.3,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,
b7254e93-6b49-4d69-8a0b-7c56e39e2c06,325,1,00:07:50.218,7,50,30,Pass,18,217,Barcelona,7,From Goal Kick,217,Barcelona,2.0404,,55908fbf-6774-41a2-bbf3-743a8aa027ca,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,27.330935,1.6183795,1.0,Ground Pass,5.7,64.3,38.0,Left Foot,63.0,Goal Kick,,,,,,,,,,,,
55908fbf-6774-41a2-bbf3-743a8aa027ca,326,1,00:07:52.259,7,52,42,Ball Receipt*,18,217,Barcelona,7,From Goal Kick,217,Barcelona,,,b7254e93-6b49-4d69-8a0b-7c56e39e2c06,5506,Javier Alejandro Mascherano,3,Right Center Back,5.7,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e05cabd-2305-4845-9d51-ff7fa9510b2d,327,1,00:07:52.259,7,52,43,Carry,18,217,Barcelona,7,From Goal Kick,217,Barcelona,0.96,,55908fbf-6774-41a2-bbf3-743a8aa027ca,5506,Javier Alejandro Mascherano,3,Right Center Back,5.7,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,6a567d4f-78da-4cec-b548-aa07375c78f8,,,,,,,,,,,,,,,5.7,64.3,,,,,,,,
6a567d4f-78da-4cec-b548-aa07375c78f8,328,1,00:07:53.219,7,53,30,Pass,18,217,Barcelona,7,From Goal Kick,217,Barcelona,1.3743,,f39710bf-fcd4-4c03-80ae-d3f542a1e633,5506,Javier Alejandro Mascherano,3,Right Center Back,5.7,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,22.567455,0.66920465,1.0,Ground Pass,23.4,78.3,40.0,Right Foot,,,,,,,,,,,,,,
f39710bf-fcd4-4c03-80ae-d3f542a1e633,329,1,00:07:54.593,7,54,42,Ball Receipt*,18,217,Barcelona,7,From Goal Kick,217,Barcelona,,,6a567d4f-78da-4cec-b548-aa07375c78f8,4324,Daniel Alves da Silva,2,Right Back,23.4,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389a16a0-b57a-4e75-8eca-468683fe3ba8,330,1,00:07:54.593,7,54,43,Carry,18,217,Barcelona,7,From Goal Kick,217,Barcelona,0.4589,,f1595aa3-9db0-4ad0-a020-62a5ff59744a,4324,Daniel Alves da Silva,2,Right Back,23.4,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,f39710bf-fcd4-4c03-80ae-d3f542a1e633,,,,,,,,,,,,,,,25.5,79.2,,,,,,,,
f1595aa3-9db0-4ad0-a020-62a5ff59744a,331,1,00:07:55.052,7,55,30,Pass,18,217,Barcelona,7,From Goal Kick,217,Barcelona,1.125207,,18ee14bf-5318-4fcd-99ff-b63491247e4b,4324,Daniel Alves da Silva,2,Right Back,25.5,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,13.418271,-0.87510383,1.0,Ground Pass,34.1,68.9,40.0,Right Foot,,,,,,,,,,,,,,
18ee14bf-5318-4fcd-99ff-b63491247e4b,332,1,00:07:56.177,7,56,42,Ball Receipt*,18,217,Barcelona,7,From Goal Kick,217,Barcelona,,,f1595aa3-9db0-4ad0-a020-62a5ff59744a,11094,Arda Turan,13,Right Center Midfield,34.1,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa361b13-1620-4eb7-904b-3e6f771c5de4,333,1,00:07:56.177,7,56,43,Carry,18,217,Barcelona,7,From Goal Kick,217,Barcelona,9.224202,,18ee14bf-5318-4fcd-99ff-b63491247e4b,11094,Arda Turan,13,Right Center Midfield,34.1,68.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,79801cb8-a3aa-45f8-a751-f5e4a39ba274,,,,,,,,,,,,,,f089b023-a2c1-4e37-8d7c-dcdc8dc2be75,66.7,76.4,,,,,,,,
