id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,interception,dribble,duel,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance,miscontrol,out,foul_committed,foul_won,ball_recovery,block,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,related_events,player,position,location
08d15466-6d2a-4fa6-9393-39b484e935a5,3500,2,00:44:39.603,89,39,43,Carry,149,217,Barcelona,7,From Goal Kick,217,Barcelona,2.717006,,0561412a-9b3a-4825-8f21-9ffa78bcf86d,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,99.0,31.2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4636c592-13d0-4421-998b-d0d5bf9d8740,104.0,23.4,,5f7627cd-c1f3-4849-9d6b-62ab833e0679,,,,,,,,,,,
0561412a-9b3a-4825-8f21-9ffa78bcf86d,3501,2,00:44:40.320,89,40,17,Pressure,149,217,Barcelona,7,From Goal Kick,1041,Sporting Gijón,1.093478,,08d15466-6d2a-4fa6-9393-39b484e935a5,,24686.0,Roberto Canella Suárez,6.0,Left Back,19.2,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4636c592-13d0-4421-998b-d0d5bf9d8740,3502,2,00:44:42.321,89,42,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,1.35508,,a68589bd-b668-4be9-a049-f4bfde70f76e,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,104.0,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,7.558439,0.30919892,1.0,Ground Pass,111.2,25.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,
a68589bd-b668-4be9-a049-f4bfde70f76e,3503,2,00:44:43.676,89,43,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,4636c592-13d0-4421-998b-d0d5bf9d8740,,11094.0,Arda Turan,13.0,Right Center Midfield,111.2,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42d7a88f-f00f-4b5e-858b-026e74cbd9ee,3504,2,00:44:43.676,89,43,43,Carry,149,217,Barcelona,7,From Goal Kick,217,Barcelona,0.08002,,5ef23298-e4c5-4395-b5b0-7510036908af,,11094.0,Arda Turan,13.0,Right Center Midfield,111.2,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a68589bd-b668-4be9-a049-f4bfde70f76e,111.2,25.7,,,,,,,,,,,,,
5ef23298-e4c5-4395-b5b0-7510036908af,3505,2,00:44:43.756,89,43,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,1.571,,9949c8ba-025b-4e02-a282-154898209cb5,,11094.0,Arda Turan,13.0,Right Center Midfield,111.2,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.341482,1.3509446,3.0,High Pass,115.2,43.6,38.0,Left Foot,,,,,,,,,9.0,Incomplete,,,,,,,,,
e84251c3-3d08-4221-b789-6da98e40faa1,3534,2,00:45:21.984,90,21,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.087145,,0ec8f869-f9fa-4291-b995-e05802fadd21,,7068.0,Marc Bartra Aregall,3.0,Right Center Back,42.2,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,15.305228,-0.9011574,1.0,Ground Pass,51.7,11.4,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,
0ec8f869-f9fa-4291-b995-e05802fadd21,3535,2,00:45:23.071,90,23,42,Ball Receipt*,151,217,Barcelona,1,Regular Play,217,Barcelona,,,e84251c3-3d08-4221-b789-6da98e40faa1,,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,51.7,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c920501-246e-4e3a-841c-2da0bca2bf8a,3536,2,00:45:23.071,90,23,43,Carry,151,217,Barcelona,1,Regular Play,217,Barcelona,2.244255,,0ec8f869-f9fa-4291-b995-e05802fadd21,,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,51.7,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65baf6ca-096b-42ff-b717-b875a95f8ada,50.4,17.5,,,,,,,,,,,,,
65baf6ca-096b-42ff-b717-b875a95f8ada,3537,2,00:45:25.315,90,25,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.3665,,8b1c709e-86f4-4d2d-ad58-5cfe95949940,,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,50.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,22.22656,0.95159286,1.0,Ground Pass,63.3,35.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,
0ab8143d-2fca-4a91-aa5a-e81e0314bc88,3538,2,00:45:26.377,90,26,17,Pressure,151,217,Barcelona,1,Regular Play,1041,Sporting Gijón,0.407896,,0bca2d25-60f3-470b-b0da-c1083d855466,,24686.0,Roberto Canella Suárez,6.0,Left Back,53.3,42.6,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ee45fa9-f50e-478d-b788-d972f77aa92e,,,,8b1c709e-86f4-4d2d-ad58-5cfe95949940,,,,,,,,,,,
