id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,foul_committed,foul_won,off_camera,ball_receipt,counterpress,interception,dribble,clearance,duel,out,bad_behaviour,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery,block,substitution,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,goalkeeper,related_events,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,related_events_4,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,ball_recovery_recovery_failure,pass_deflected,block_deflection
0fb00b86-f7f9-4f5d-8a3f-33ae4b5e7626,2491,2,00:16:31.916,61,31,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,0.4672,,7c95dd32-d10d-464a-b096-2d6c19bf268b,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,59.7,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0715a02-d24c-40db-b25a-58ec05ca053b,60.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,
f0715a02-d24c-40db-b25a-58ec05ca053b,2492,2,00:16:32.383,61,32,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.227737,,dea1d7ec-d7b8-4f33-8159-9e8c8313cd0a,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,60.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,3.9357338,0.47501075,1.0,Ground Pass,63.5,43.2,40.0,Right Foot,,,,,,,,,,,,,,,,
dea1d7ec-d7b8-4f33-8159-9e8c8313cd0a,2493,2,00:16:33.611,61,33,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,f0715a02-d24c-40db-b25a-58ec05ca053b,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,63.5,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a0a4f79-8034-46e4-9f1b-fa8076d1d758,2494,2,00:16:33.611,61,33,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,0.816231,,23451c3b-e0d3-43e0-8f19-7a7035363c77,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,63.5,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dea1d7ec-d7b8-4f33-8159-9e8c8313cd0a,63.4,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,
23451c3b-e0d3-43e0-8f19-7a7035363c77,2495,2,00:16:34.427,61,34,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.258365,,d4eb6a75-a61a-43e9-aec4-f5997ad10b4a,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,63.4,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,11.423659,-1.8094057,1.0,Ground Pass,60.7,25.7,38.0,Left Foot,,,,,,,,,,,,,,,,
d4eb6a75-a61a-43e9-aec4-f5997ad10b4a,2496,2,00:16:35.685,61,35,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,23451c3b-e0d3-43e0-8f19-7a7035363c77,5216,Andrés Iniesta Luján,15,Left Center Midfield,60.7,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c60de19-2b70-45fc-a435-85d3c3fc2895,2497,2,00:16:35.685,61,35,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,0.980937,,4bfa3e63-6a24-42c2-bcc6-4b34a2fd0104,5216,Andrés Iniesta Luján,15,Left Center Midfield,60.7,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4eb6a75-a61a-43e9-aec4-f5997ad10b4a,62.7,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4bfa3e63-6a24-42c2-bcc6-4b34a2fd0104,2498,2,00:16:36.666,61,36,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.750697,,696c9486-a52b-4c1d-84a3-6ed7a7b0e874,5216,Andrés Iniesta Luján,15,Left Center Midfield,62.7,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,22.276669,-1.0850639,1.0,Ground Pass,73.1,5.6,40.0,Right Foot,,,,,,,,,,,,,,,,
696c9486-a52b-4c1d-84a3-6ed7a7b0e874,2499,2,00:16:38.417,61,38,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,4bfa3e63-6a24-42c2-bcc6-4b34a2fd0104,5211,Jordi Alba Ramos,6,Left Back,73.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd0ac423-e113-4677-af4b-d7dd338dd8c5,2500,2,00:16:38.417,61,38,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,1.384933,,696c9486-a52b-4c1d-84a3-6ed7a7b0e874,5211,Jordi Alba Ramos,6,Left Back,73.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800f357d-2b62-4a63-8e7c-b8969401d802,78.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
800f357d-2b62-4a63-8e7c-b8969401d802,2501,2,00:16:39.802,61,39,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.097178,,7a1be942-cacc-4de4-85d9-dba9198a8e10,5211,Jordi Alba Ramos,6,Left Back,78.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8bd9d5fb-10a4-4ba3-bac1-c9abb4971354,,,4320.0,Neymar da Silva Santos Junior,15.316005,1.6165161,1.0,Ground Pass,77.6,23.3,38.0,Left Foot,,,,,,,,9.0,Incomplete,,,,,,,
8bd9d5fb-10a4-4ba3-bac1-c9abb4971354,2502,2,00:16:40.899,61,40,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,800f357d-2b62-4a63-8e7c-b8969401d802,4320,Neymar da Silva Santos Junior,21,Left Wing,79.5,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,
