id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,ball_receipt,under_pressure,duel,out,clearance,carry,dribble,counterpress,foul_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception,shot,50_50,foul_committed,miscontrol,substitution,ball_recovery,related_events,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_switch,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_cross,pass_outcome_id,pass_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,related_events_3,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,clearance_left_foot
6db9e6be-4707-4dae-820f-796486e505cc,3100,2,00:46:17.927,91,17,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.165892,,cae05086-db7d-4a4e-9654-a104a6cea23f,,7900,Tiago Manuel Dias Correia,21,Left Wing,79.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10727.0,Răzvan Dincă Raț,10.0657835,-1.205049,1.0,Ground Pass,83.1,9.8,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cae05086-db7d-4a4e-9654-a104a6cea23f,3101,2,00:46:19.093,91,19,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,6db9e6be-4707-4dae-820f-796486e505cc,,10727,Răzvan Dincă Raț,6,Left Back,83.1,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29046f4c-bd9f-41b8-9303-cfe95b5df07e,3102,2,00:46:19.093,91,19,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.64037,,b980ce6e-c99b-4aa8-8968-8965cf7828ad,,10727,Răzvan Dincă Raț,6,Left Back,82.3,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26222.0,José Eduardo Rosa Vale de Castro,22.271282,2.675937,1.0,Ground Pass,62.4,19.5,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b980ce6e-c99b-4aa8-8968-8965cf7828ad,3103,2,00:46:20.733,91,20,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,29046f4c-bd9f-41b8-9303-cfe95b5df07e,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,62.4,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c1ebcd9-5897-4d8c-8c3b-b85ea16c3e98,3104,2,00:46:20.733,91,20,43,Carry,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,2.929066,,b980ce6e-c99b-4aa8-8968-8965cf7828ad,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,62.4,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8fbb665-5f67-4912-a577-cf4f4bb6ab24,,,,,,,,,,,,,,65.5,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8fbb665-5f67-4912-a577-cf4f4bb6ab24,3105,2,00:46:23.662,91,23,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,2.247375,,f779acb4-65c8-4c84-97b3-b2d6382739b1,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,65.5,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26690.0,Alberto Mateus Contreiras Gonçalves,42.77394,0.57049465,3.0,High Pass,101.5,53.5,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f779acb4-65c8-4c84-97b3-b2d6382739b1,3106,2,00:46:25.910,91,25,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,e8fbb665-5f67-4912-a577-cf4f4bb6ab24,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,101.5,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8916732a-f462-40d2-92e7-9b151ecb67e2,3107,2,00:46:25.933,91,25,4,Duel,205,360,Rayo Vallecano,2,From Corner,214,Espanyol,0.0,,fc3ca73c-8bff-41f5-9734-04a44bb8cdff,,4741,Juan Rafael Fuentes Hernández,6,Left Back,19.4,26.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,
fc3ca73c-8bff-41f5-9734-04a44bb8cdff,3108,2,00:46:25.933,91,25,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,1.062986,,8916732a-f462-40d2-92e7-9b151ecb67e2,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,100.7,53.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,fd56a49f-ddf8-4584-a149-83626aaab93b,26607.0,José Raúl Baena Urdiales,6.9971423,-2.6011732,2.0,Low Pass,94.7,49.6,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
fd56a49f-ddf8-4584-a149-83626aaab93b,3109,2,00:46:26.996,91,26,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,fc3ca73c-8bff-41f5-9734-04a44bb8cdff,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,94.7,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
