id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,dribble,duel,interception,out,miscontrol,foul_won,clearance,foul_committed,substitution,shot,goalkeeper,ball_recovery,block,pass,duel_type_id,duel_type_name,related_events_1,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,pass_body_part_id,pass_body_part_name,carry_end_location_0,carry_end_location_1,interception_outcome_id,interception_outcome_name,related_events,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot
624cc058-3eb7-46d1-9324-54cf4e60a3dd,138,1,00:02:22.056,2,22,42,Ball Receipt*,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,775093d5-aeb9-419a-9437-3f98452d202c,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,30.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89659ecb-217f-445c-8137-cbe08d52f8e1,139,1,00:02:22.056,2,22,43,Carry,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.926544,,05775ba7-28a9-43cb-8674-357bb4090294,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,30.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624cc058-3eb7-46d1-9324-54cf4e60a3dd,,,,,,,,,33.3,7.8,,,,,,,,,,,,,
05775ba7-28a9-43cb-8674-357bb4090294,140,1,00:02:22.982,2,22,30,Pass,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.367603,,d4245499-b245-461b-bbf3-6d165f0205d5,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,33.3,7.8,11298.0,José Ignacio Martínez García,14.59863,-0.16514868,1.0,Ground Pass,47.7,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,
d4245499-b245-461b-bbf3-6d165f0205d5,141,1,00:02:24.350,2,24,42,Ball Receipt*,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,05775ba7-28a9-43cb-8674-357bb4090294,,11298,José Ignacio Martínez García,6,Left Back,47.7,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fcaf0d9-54b8-4fd4-97e0-08355f2a8f12,142,1,00:02:24.350,2,24,43,Carry,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.735034,,881e60d6-3b7c-4db5-b698-dc1466c11657,,11298,José Ignacio Martínez García,6,Left Back,47.7,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4245499-b245-461b-bbf3-6d165f0205d5,,,,,,,,,47.0,5.8,,,,,,,,,,,,,
881e60d6-3b7c-4db5-b698-dc1466c11657,143,1,00:02:26.085,2,26,30,Pass,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.950004,,0b8d862d-ace2-4c0b-b632-c23e627b188e,,11298,José Ignacio Martínez García,6,Left Back,47.0,5.8,7900.0,Tiago Manuel Dias Correia,35.797485,0.32705086,3.0,High Pass,80.9,17.3,,,,,,,,,,,,,,,,,,,,,,,4c602585-5868-417e-836d-8371aab82e9e,,9.0,Incomplete,,,,38.0,Left Foot,,,,,,,,,,,,,,,
4c602585-5868-417e-836d-8371aab82e9e,144,1,00:02:28.035,2,28,42,Ball Receipt*,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,881e60d6-3b7c-4db5-b698-dc1466c11657,,7900,Tiago Manuel Dias Correia,21,Left Wing,86.2,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,
0b8d862d-ace2-4c0b-b632-c23e627b188e,145,1,00:02:28.035,2,28,10,Interception,7,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.0,,881e60d6-3b7c-4db5-b698-dc1466c11657,,6805,Hugo Mallo Novegil,2,Right Back,39.2,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,
d5b13d55-dcd6-46c9-8e35-d60a61debb3e,146,1,00:02:29.599,2,29,2,Ball Recovery,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,69.1,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30e29a35-13cc-44b4-a38b-e38eddcad76a,147,1,00:02:29.599,2,29,43,Carry,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.75537,,2bad46d5-c30c-4919-915d-706b8d23de33,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,69.1,21.6,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,d5b13d55-dcd6-46c9-8e35-d60a61debb3e,,,,,,f0f54947-160a-4b57-9d1a-6b6009161d6c,,,71.5,25.6,,,,,,,,,,,,,
2bad46d5-c30c-4919-915d-706b8d23de33,148,1,00:02:29.782,2,29,17,Pressure,7,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.726202,,30e29a35-13cc-44b4-a38b-e38eddcad76a,,6801,Pedro Pablo Hernández,15,Left Center Midfield,52.3,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0f54947-160a-4b57-9d1a-6b6009161d6c,,,,,,,,,,,,,,,,,,,,,,,
d4215cae-1e6c-4443-bfdb-7e848d4ab165,149,1,00:02:30.073,2,30,17,Pressure,7,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.57804,,f0f54947-160a-4b57-9d1a-6b6009161d6c,,19668,Augusto Matías Fernández,10,Center Defensive Midfield,51.7,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0f54947-160a-4b57-9d1a-6b6009161d6c,150,1,00:02:30.354,2,30,30,Pass,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.245559,,2bad46d5-c30c-4919-915d-706b8d23de33,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,71.5,25.6,9246.0,Patrick Ebert,6.928925,1.9244995,1.0,Ground Pass,69.1,32.1,,,,True,,,,,,,,,,,,,,,,,,,90b0dd3d-4c89-4caa-91e0-e24f221473fa,,,,,,d4215cae-1e6c-4443-bfdb-7e848d4ab165,38.0,Left Foot,,,,,,,,,,,,,,,
90b0dd3d-4c89-4caa-91e0-e24f221473fa,151,1,00:02:31.600,2,31,42,Ball Receipt*,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,f0f54947-160a-4b57-9d1a-6b6009161d6c,,9246,Patrick Ebert,19,Center Attacking Midfield,69.1,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0adb9dfc-c765-413d-93aa-11c4cdc898d0,152,1,00:02:31.600,2,31,43,Carry,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.085559,,7e03b421-b6cb-4a98-a0e1-d7698c487c4a,,9246,Patrick Ebert,19,Center Attacking Midfield,69.1,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90b0dd3d-4c89-4caa-91e0-e24f221473fa,,,,,,,,,78.3,50.3,,,,,,,,,,,,,
7e03b421-b6cb-4a98-a0e1-d7698c487c4a,153,1,00:02:33.685,2,33,30,Pass,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.463647,,dfb956a7-b8d7-4d1d-bb8f-343d20de5b44,,9246,Patrick Ebert,19,Center Attacking Midfield,78.3,50.3,23761.0,Alhassane Bangoura,25.988651,1.0864977,1.0,Ground Pass,90.4,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,
dfb956a7-b8d7-4d1d-bb8f-343d20de5b44,154,1,00:02:35.149,2,35,42,Ball Receipt*,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,7e03b421-b6cb-4a98-a0e1-d7698c487c4a,,23761,Alhassane Bangoura,17,Right Wing,90.4,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310f750d-ff13-4ad0-b730-592d743441e6,155,1,00:02:35.149,2,35,43,Carry,7,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.826669,,3a2bc287-bc79-49df-b967-5a84b6673e83,,23761,Alhassane Bangoura,17,Right Wing,90.4,73.3,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,c995f7b8-94b1-4f8e-9a1e-80701548ee8c,,,,,,dfb956a7-b8d7-4d1d-bb8f-343d20de5b44,,,89.9,78.1,,,,,,,,,,,,,
c995f7b8-94b1-4f8e-9a1e-80701548ee8c,156,1,00:02:37.772,2,37,17,Pressure,7,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.209309,,310f750d-ff13-4ad0-b730-592d743441e6,,6724,Manuel Agudo Durán,21,Left Wing,32.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a2bc287-bc79-49df-b967-5a84b6673e83,,,,,,9fe24772-4d9d-4e7c-9c78-962325a977cb,,,,,,,,,,,,,,,,,
