id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events,pass_outcome_id,pass_outcome_name,related_events_1,carry_end_location_0,carry_end_location_1,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_deflected,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,player,position,location,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name
75a1cc88-288f-4ea2-a00b-243bdd40c968,1494,1,00:44:31.044,44,31,14,Dribble,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,67445090-6ccd-42dd-acb3-112abdc2440b,11298.0,José Ignacio Martínez García,6.0,Left Back,48.7,25.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,
a7ad495b-f1da-4a13-b33d-337f266b7631,1550,1,00:45:25.002,45,25,2,Ball Recovery,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,1252e172-84e2-4cbf-87b9-1556699c349a,6852.0,Jozabed Sánchez Ruiz,9.0,Right Defensive Midfield,17.7,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc401a50-f7c0-4f7d-829e-35d998d260ff,1551,1,00:45:25.002,45,25,43,Carry,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.961441,,a7ad495b-f1da-4a13-b33d-337f266b7631,6852.0,Jozabed Sánchez Ruiz,9.0,Right Defensive Midfield,17.7,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6915e53-88b8-4722-a446-f2d60e376218,27.6,52.0,,,,,,,,,,,,,,,,,,,,,,,
d6915e53-88b8-4722-a446-f2d60e376218,1552,1,00:45:27.963,45,27,30,Pass,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.939883,,10d32966-2a38-4887-9cfa-03d45661c578,6852.0,Jozabed Sánchez Ruiz,9.0,Right Defensive Midfield,27.6,52.0,11542.0,Javier Guerra Rodríguez,18.33712,-0.47584212,1.0,Ground Pass,43.9,43.6,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab414ac1-6088-4c42-a9ae-fbce95d3ffb2,1553,1,00:45:28.865,45,28,17,Pressure,100,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,0.725995,,10d32966-2a38-4887-9cfa-03d45661c578,5201.0,Sergio Ramos García,5.0,Left Center Back,76.2,34.7,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,6be74688-608b-4366-9c15-68e5674f5f18,,,,,729eda41-87ec-41e5-8f98-6727e8437bf1,,,,,,,,,,,,,,,,,,,,
10d32966-2a38-4887-9cfa-03d45661c578,1554,1,00:45:28.903,45,28,42,Ball Receipt*,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,ab414ac1-6088-4c42-a9ae-fbce95d3ffb2,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,43.9,43.6,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,d6915e53-88b8-4722-a446-f2d60e376218,,,,,,,,,,,,,,,,,,,,,,,,,
729eda41-87ec-41e5-8f98-6727e8437bf1,1555,1,00:45:28.903,45,28,43,Carry,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.637411,,10d32966-2a38-4887-9cfa-03d45661c578,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,43.9,43.6,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,6be74688-608b-4366-9c15-68e5674f5f18,43.8,42.6,,,ab414ac1-6088-4c42-a9ae-fbce95d3ffb2,,,,,,,,,,,,,,,,,,,,
6be74688-608b-4366-9c15-68e5674f5f18,1556,1,00:45:29.541,45,29,30,Pass,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.718912,,ab414ac1-6088-4c42-a9ae-fbce95d3ffb2,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,43.8,42.6,23761.0,Alhassane Bangoura,11.131936,-1.8811837,1.0,Ground Pass,40.4,32.0,,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,ca5d6fc3-9c05-4560-851e-ce6274917ea0,,,,,,,,,,,,,,,,,,,,,,,,,
ca5d6fc3-9c05-4560-851e-ce6274917ea0,1557,1,00:45:30.260,45,30,42,Ball Receipt*,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,6be74688-608b-4366-9c15-68e5674f5f18,23761.0,Alhassane Bangoura,17.0,Right Wing,40.4,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68e38544-9572-451c-8d0b-66a3baba6abb,1558,1,00:45:30.260,45,30,43,Carry,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.133527,,a8f9c1a8-913a-4705-9eb4-b092f0ed7493,23761.0,Alhassane Bangoura,17.0,Right Wing,40.4,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca5d6fc3-9c05-4560-851e-ce6274917ea0,44.1,30.1,,,,,,,,,,,,,,,,,,,,,,,
a8f9c1a8-913a-4705-9eb4-b092f0ed7493,1559,1,00:45:31.393,45,31,30,Pass,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.883607,,ed71c53d-ec28-47b2-9cdc-05c8f4524b82,23761.0,Alhassane Bangoura,17.0,Right Wing,44.1,30.1,26222.0,José Eduardo Rosa Vale de Castro,19.106281,-1.423718,1.0,Ground Pass,46.9,11.2,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed71c53d-ec28-47b2-9cdc-05c8f4524b82,1560,1,00:45:33.277,45,33,42,Ball Receipt*,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,a8f9c1a8-913a-4705-9eb4-b092f0ed7493,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,46.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972e8180-aff8-4026-97fd-7a65b600a911,1561,1,00:45:33.277,45,33,43,Carry,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.297383,,c821c024-6ce8-4dd9-bfcf-d3a0236dbb59,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,46.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ed71c53d-ec28-47b2-9cdc-05c8f4524b82,46.9,11.2,,,,,,,,,,,,,,,,,,,,,,,
c821c024-6ce8-4dd9-bfcf-d3a0236dbb59,1562,1,00:45:34.574,45,34,30,Pass,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.241243,,ce09a129-edd3-4815-87e2-9c4e9beb3bbd,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,46.9,11.2,26848.0,Roberto Trashorras Gayoso,7.602631,1.5444866,1.0,Ground Pass,47.1,18.8,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
ce09a129-edd3-4815-87e2-9c4e9beb3bbd,1563,1,00:45:34.815,45,34,42,Ball Receipt*,100,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,c821c024-6ce8-4dd9-bfcf-d3a0236dbb59,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,47.1,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
