id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,ball_recovery_recovery_failure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,block_deflection
7dde564f-00b5-44a9-ad05-30e806a724c3,3237,2,00:40:24.035,85,24,17,Pressure,194,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,0.681692,,0af5a944-7783-4056-9681-ece0dbefc5ab,5200,Lucas Vázquez Iglesias,17,Right Wing,62.2,55.2,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,60d3de0c-092f-481f-8bd3-fffe3c0a8f7f,,,,,,,,,,,,,,,,,,,,,,,,
60d3de0c-092f-481f-8bd3-fffe3c0a8f7f,3238,2,00:40:24.493,85,24,30,Pass,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.974397,,7dde564f-00b5-44a9-ad05-30e806a724c3,27144,Antonio Amaya Carazo,5,Left Center Back,57.0,27.6,6852.0,Jozabed Sánchez Ruiz,10.071743,1.6902252,1.0,Ground Pass,55.8,37.6,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,fd4ec0af-5075-4291-a514-50fd41ed8218,,,,,,,,,,,,,,,,,,,,,,,,
fd4ec0af-5075-4291-a514-50fd41ed8218,3239,2,00:40:25.468,85,25,42,Ball Receipt*,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,60d3de0c-092f-481f-8bd3-fffe3c0a8f7f,6852,Jozabed Sánchez Ruiz,21,Left Wing,55.8,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74ca6697-0273-4b90-957c-0107a78a6ef4,3240,2,00:40:25.468,85,25,43,Carry,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.399997,,3d57dfbe-068d-4473-a0ae-46af62df8d4b,6852,Jozabed Sánchez Ruiz,21,Left Wing,55.8,37.6,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,da535c56-fd05-4354-a454-cb3b9440244f,55.3,38.7,fd4ec0af-5075-4291-a514-50fd41ed8218,,,,,,,,,,,,,,,,,,,,,
3d57dfbe-068d-4473-a0ae-46af62df8d4b,3241,2,00:40:25.813,85,25,17,Pressure,194,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,0.147913,,74ca6697-0273-4b90-957c-0107a78a6ef4,5200,Lucas Vázquez Iglesias,17,Right Wing,64.3,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da535c56-fd05-4354-a454-cb3b9440244f,,,,,,,,,,,,,,,,,,,,,,,,
da535c56-fd05-4354-a454-cb3b9440244f,3242,2,00:40:25.868,85,25,30,Pass,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.736163,,3d57dfbe-068d-4473-a0ae-46af62df8d4b,6852,Jozabed Sánchez Ruiz,21,Left Wing,55.3,38.7,26848.0,Roberto Trashorras Gayoso,8.15414,-0.40328148,1.0,Ground Pass,62.8,35.5,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,51d37d79-5730-487f-ac35-74c1c37e60b6,,,,,,,,,,,,,,,,,,,,,,,,
51d37d79-5730-487f-ac35-74c1c37e60b6,3243,2,00:40:26.604,85,26,42,Ball Receipt*,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,da535c56-fd05-4354-a454-cb3b9440244f,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,62.8,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b42e83d-2153-4b60-b152-03bb1b973555,3244,2,00:40:26.604,85,26,43,Carry,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.442619,,1b6e47ac-fda4-45a3-a99b-8d6294471bbd,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,62.8,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51d37d79-5730-487f-ac35-74c1c37e60b6,70.4,31.0,,,,,,,,,,,,,,,,,,,,,,
1b6e47ac-fda4-45a3-a99b-8d6294471bbd,3245,2,00:40:28.047,85,28,30,Pass,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.629943,,4823ad7b-7c2f-4dc2-ba19-74b93354c168,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,70.4,31.0,24782.0,Jonhatan Montiel Caballero,6.8359346,-0.102579854,1.0,Ground Pass,77.2,30.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5466dde6-2a5c-4429-b9c2-8f32a240a7bd,3246,2,00:40:28.606,85,28,17,Pressure,194,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,0.102097,,4823ad7b-7c2f-4dc2-ba19-74b93354c168,20016,Kléper Laveran Lima Ferreira,3,Right Center Back,41.2,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e2fe1510-1331-425f-9bc6-8dc367c44121,,,,,,,,,,,,,,,,,,,,,,,,
4823ad7b-7c2f-4dc2-ba19-74b93354c168,3247,2,00:40:28.676,85,28,42,Ball Receipt*,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,1b6e47ac-fda4-45a3-a99b-8d6294471bbd,24782,Jonhatan Montiel Caballero,17,Right Wing,77.2,30.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,5466dde6-2a5c-4429-b9c2-8f32a240a7bd,,,,,,,,,,,,,,,,,,,,,,,,
e2fe1510-1331-425f-9bc6-8dc367c44121,3248,2,00:40:28.676,85,28,30,Pass,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.885302,,5466dde6-2a5c-4429-b9c2-8f32a240a7bd,24782,Jonhatan Montiel Caballero,17,Right Wing,78.1,28.7,26848.0,Roberto Trashorras Gayoso,6.3245554,-2.176341,1.0,Ground Pass,74.5,23.5,38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,d025c852-01fe-4853-a220-4a697ded2ab4,,,,,,,,,,,,,,,,,,,,,,,,
d025c852-01fe-4853-a220-4a697ded2ab4,3249,2,00:40:29.562,85,29,42,Ball Receipt*,194,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,e2fe1510-1331-425f-9bc6-8dc367c44121,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,74.5,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
